USER_ID;ORDER_ID;PURCHASE_TS_CLEAN;SHIP_TS;PURCHASE_YEAR;PURCHASE_MONTH;PRODUCT_NAME_CLEAN;PRODUCT_ID;USD_PRICE;PURCHASE_PLATFORM;MARKETING_CHANNEL_CLEAN;ACCOUNT_CREATION_METHOD_CLEAN;COUNTRY_CODE;DATE_CHECK;TIME_TO_SHIP;REGION
e4a73cb4;866ef50c71696571;05/03/19;06/03/2019;2019;3;JBL Quantum 100 Gaming Headset;f5ca;0;website;social media;tablet;GB;TRUE;1;EMEA
0c044c53;b51a7bdf4f37931;09/03/19;11/03/2019;2019;3;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;desktop;CA;TRUE;2;NA
62cc65d9;b200d7ad7e842833;22/04/19;23/04/2019;2019;4;JBL Quantum 100 Gaming Headset;f5ca;0;website;affiliate;unknown;GB;TRUE;1;EMEA
85ac39f0;2146feba6e756862;30/04/19;02/05/2019;2019;4;27in 4K gaming monitor;7f86;0;website;direct;desktop;US;TRUE;2;NA
5fd53171;23940db170e41722;04/05/19;06/05/2019;2019;5;JBL Quantum 100 Gaming Headset;f5ca;0;website;affiliate;unknown;US;TRUE;2;NA
555eca81;3be225ada5637556;24/05/19;25/05/2019;2019;5;27in 4K gaming monitor;7599;0;website;direct;desktop;CA;TRUE;1;NA
73bbc60c;d844c5f2e1149699;04/07/19;06/07/2019;2019;7;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;desktop;RU;TRUE;2;APAC
9af4724f;adfd0c8ed8e65524;21/08/19;22/08/2019;2019;8;27in 4K gaming monitor;7f86;0;website;direct;mobile;MY;TRUE;1;APAC
f98d3ee4;c5c9a836518105426;21/08/19;22/08/2019;2019;8;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;desktop;US;TRUE;1;NA
efe56e44;45a51a63bcd101353;26/09/19;29/09/2019;2019;9;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;desktop;GB;TRUE;3;EMEA
efe56e44;45a51a63bcd101354;26/09/19;29/09/2019;2019;9;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;desktop;GB;TRUE;3;EMEA
7da5fabc;dfc920cda4f53653;30/10/19;31/10/2019;2019;10;27in 4K gaming monitor;891b;0;website;email;mobile;CA;TRUE;1;NA
cc673eb1;8477446ded786340;19/11/19;22/11/2019;2019;11;27in 4K gaming monitor;891b;0;website;direct;desktop;IN;TRUE;3;APAC
12159362;95570df7d2b351;14/12/19;17/12/2019;2019;12;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;mobile;HK;TRUE;3;APAC
b50114e3;6fdd55abb5f76670;23/12/19;26/12/2019;2019;12;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;desktop;AU;TRUE;3;APAC
b50114e3;6fdd55abb5f76671;23/12/19;26/12/2019;2019;12;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;desktop;AU;TRUE;3;APAC
29bb865f;524641383d819880;17/02/20;20/02/2020;2020;2;JBL Quantum 100 Gaming Headset;f5ca;0;website;affiliate;unknown;NL;TRUE;3;EMEA
8ba7ece7;6b2264bb08b59314;02/03/20;03/03/2020;2020;3;JBL Quantum 100 Gaming Headset;f5ca;0;website;affiliate;unknown;US;TRUE;1;NA
6af2bb7f;4d7c9611b7146120;09/03/20;12/03/2020;2020;3;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;desktop;US;TRUE;3;NA
f4e3814a;fe600e3fde0103510;20/03/20;23/03/2020;2020;3;27in 4K gaming monitor;7f86;0;website;direct;desktop;US;TRUE;3;NA
ed0176ff;53671a5f98f100127;29/03/20;31/03/2020;2020;3;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;desktop;IT;TRUE;2;EMEA
eec7e8f6;4fbc71f4344100865;03/04/20;06/04/2020;2020;4;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;desktop;US;TRUE;3;NA
337a5c9b;c06bc74c56623892;23/04/20;24/04/2020;2020;4;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;desktop;US;TRUE;1;NA
6078173d;68b8f67360f41966;03/06/20;06/06/2020;2020;6;27in 4K gaming monitor;7f86;0;website;direct;desktop;US;TRUE;3;NA
a701bdf9;1ceddd6a12170762;20/06/20;21/06/2020;2020;6;27in 4K gaming monitor;7f86;0;website;direct;desktop;US;TRUE;1;NA
58b54def;cf77dc8013b38804;20/11/20;21/11/2020;2020;11;JBL Quantum 100 Gaming Headset;f5ca;0;website;affiliate;unknown;US;TRUE;1;NA
58b54def;cf77dc8013b38805;20/11/20;21/11/2020;2020;11;JBL Quantum 100 Gaming Headset;f5ca;0;website;affiliate;unknown;US;TRUE;1;NA
640abe84;4dbbfcd41ca43316;29/11/20;02/12/2020;2020;11;Dell Gaming Mouse;640d;0;website;direct;desktop;US;TRUE;3;NA
0bf01cff;b528ed0af2c7902;05/12/20;07/12/2020;2020;12;JBL Quantum 100 Gaming Headset;f5ca;0;website;direct;desktop;CA;TRUE;2;NA
8e8cda8f;09bb555536760536;26/09/20;10/08/2020;2020;9;JBL Quantum 100 Gaming Headset;ab0f;6,11;website;email;desktop;TR;FALSE;-47;EMEA
fd5574ab;e5c64fcd689107006;02/12/20;03/12/2020;2020;12;JBL Quantum 100 Gaming Headset;ab0f;6,11;website;direct;desktop;TR;TRUE;1;EMEA
f1e47071;7e8dab4db9e102226;09/12/20;12/12/2020;2020;12;JBL Quantum 100 Gaming Headset;ab0f;6,11;website;direct;desktop;TR;TRUE;3;EMEA
d09fc296;869c79f9fe188110;12/11/20;14/11/2020;2020;11;JBL Quantum 100 Gaming Headset;ab0f;6,32;website;direct;desktop;TR;TRUE;2;EMEA
493bddfd;a195c59620b32614;08/11/20;09/11/2020;2020;11;JBL Quantum 100 Gaming Headset;ab0f;6,55;website;email;desktop;TR;TRUE;1;EMEA
ef3bcb29;bb69368fa16101075;25/01/21;28/01/2021;2021;1;JBL Quantum 100 Gaming Headset;ab0f;6,63;website;direct;desktop;TR;TRUE;3;EMEA
49ae0a41;ca16e85211432807;24/09/20;26/09/2020;2020;9;JBL Quantum 100 Gaming Headset;ab0f;6,77;website;direct;desktop;TR;TRUE;2;EMEA
e56b4114;8770efef34996921;14/05/19;17/05/2019;2019;5;JBL Quantum 100 Gaming Headset;2997;7,14;mobile app;email;mobile;TR;TRUE;3;EMEA
b86a425c;1a32257ae2f78125;06/06/20;07/06/2020;2020;6;JBL Quantum 100 Gaming Headset;ab0f;7,19;website;direct;desktop;TR;TRUE;1;EMEA
9d161912;9817fd6edbf66423;12/06/20;13/06/2020;2020;6;JBL Quantum 100 Gaming Headset;ab0f;7,23;website;direct;mobile;TR;TRUE;1;EMEA
69612212;965eeb1c87b1826;09/07/20;11/07/2020;2020;7;JBL Quantum 100 Gaming Headset;ab0f;7,23;website;direct;mobile;TR;TRUE;2;EMEA
17c7ee89;9666a4d51b612664;11/02/20;13/02/2020;2020;2;JBL Quantum 100 Gaming Headset;ab0f;7,7;website;direct;mobile;TR;TRUE;2;EMEA
fac76475;b242a7882ae105964;20/04/20;23/04/2020;2020;4;JBL Quantum 100 Gaming Headset;ab0f;7,7;website;email;mobile;TR;TRUE;3;EMEA
206affe8;305cbd2082b16224;17/11/19;20/11/2019;2019;11;JBL Quantum 100 Gaming Headset;ab0f;8,33;website;direct;desktop;TR;TRUE;3;EMEA
8fbd8ef8;a47819ef58461020;22/01/20;25/01/2020;2020;1;JBL Quantum 100 Gaming Headset;ab0f;8,44;website;direct;mobile;CA;TRUE;3;NA
8fbd8ef8;a47819ef58461021;22/01/20;25/01/2020;2020;1;JBL Quantum 100 Gaming Headset;ab0f;8,44;website;direct;mobile;CA;TRUE;3;NA
f04a4fe1;db0e051028f101581;04/05/19;06/05/2019;2019;5;JBL Quantum 100 Gaming Headset;ab0f;8,54;website;direct;desktop;TR;TRUE;2;EMEA
063f892c;47301cf287f5646;12/10/19;13/10/2019;2019;10;JBL Quantum 100 Gaming Headset;ab0f;8,58;website;direct;desktop;TR;TRUE;1;EMEA
0963180f;295b5daaf7e6861;13/11/19;15/11/2019;2019;11;JBL Quantum 100 Gaming Headset;ab0f;8,58;website;direct;desktop;TR;TRUE;2;EMEA
25d8fc92;c0e05fb21c618315;18/06/19;19/06/2019;2019;6;JBL Quantum 100 Gaming Headset;ab0f;8,65;website;direct;desktop;TR;TRUE;1;EMEA
b090af8b;261ec9ae73874820;06/09/19;09/09/2019;2019;9;JBL Quantum 100 Gaming Headset;ab0f;8,72;website;direct;desktop;RO;TRUE;3;EMEA
766a7cba;ab5a1e1086d50740;18/09/19;19/09/2019;2019;9;JBL Quantum 100 Gaming Headset;ab0f;8,72;website;direct;mobile;TR;TRUE;1;EMEA
766a7cba;ab5a1e1086d50741;18/09/19;19/09/2019;2019;9;JBL Quantum 100 Gaming Headset;ab0f;8,72;website;direct;mobile;TR;TRUE;1;EMEA
1365da6b;5987626bcdf10940;21/04/19;22/04/2019;2019;4;JBL Quantum 100 Gaming Headset;ab0f;8,99;website;direct;desktop;TR;TRUE;1;EMEA
ec1741cb;6f7d72ba11399743;27/04/19;30/04/2019;2019;4;JBL Quantum 100 Gaming Headset;ab0f;8,99;website;direct;desktop;TR;TRUE;3;EMEA
3dd922f0;03f89d7e0ea28034;09/03/19;28/10/2018;2019;3;JBL Quantum 100 Gaming Headset;ab0f;9,34;website;direct;desktop;TR;FALSE;-132;EMEA
18db4987;b09a28dd29413092;27/09/20;30/09/2020;2020;9;JBL Quantum 100 Gaming Headset;2997;9,78;mobile app;direct;desktop;BR;TRUE;3;LATAM
